date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Jan 24 2014 - 11:00pm;La Equidad;Alianza Petrolera;1;1;2;4;3;1;0;2;0;11;4;5;3;14;20;50;50;Estadio Metropolitano de Techo
Jan 25 2014 - 1:00am;Santa Fe;Rionegro Águilas;3;0;3;2;11;1;0;2;0;12;6;4;3;15;19;50;50;Estadio Nemesio Camacho El Campín
Jan 25 2014 - 8:15pm;Uniautónoma;Deportes Tolima;3;2;5;3;4;4;1;4;1;18;11;9;5;13;16;49;51;Estadio Metropolitano Roberto Meléndez
Jan 25 2014 - 10:00pm;Envigado;Millonarios;1;2;3;6;2;5;0;4;0;7;7;4;3;24;18;47;53;Estadio Polideportivo Sur
Jan 25 2014 - 10:30pm;Once Caldas;Fortaleza CEIF;3;1;4;4;9;5;0;3;0;7;7;4;3;24;18;45;55;Estadio Palogrande
Jan 26 2014 - 12:45am;Atlético Huila;Junior;2;3;5;5;5;6;1;6;1;7;7;2;3;16;10;50;50;Estadio Guillermo Plazas Alcid
Jan 26 2014 - 8:15pm;Deportivo Pasto;Patriotas Boyacá;3;1;4;1;2;2;0;5;0;15;6;10;4;25;12;47;53;Estadio Departamental Libertad
Jan 26 2014 - 10:15pm;Atlético Nacional;Independiente Medellín;3;1;4;4;3;2;0;3;2;12;14;4;5;22;15;48;52;Estadio Atanasio Girardot
Jan 27 2014 - 12:15am;Boyacá Chicó;Deportivo Cali;2;1;3;3;3;4;0;1;0;14;6;7;3;20;13;47;53;Estadio de La Independencia
Jan 31 2014 - 11:00pm;Patriotas Boyacá;Once Caldas;0;0;0;4;6;5;0;4;0;14;11;8;6;11;12;46;54;Estadio de La Independencia
Feb 01 2014 - 1:00am;Independiente Medellín;Deportivo Pasto;2;0;2;2;9;3;0;3;0;10;11;3;5;13;8;46;54;Estadio Atanasio Girardot
Feb 01 2014 - 8:15pm;Alianza Petrolera;Boyacá Chicó;1;2;3;1;4;4;1;3;0;8;11;0;6;17;19;46;54;Estadio Álvaro Gómez Hurtado
Feb 01 2014 - 10:00pm;Junior;Uniautónoma;1;1;2;3;5;3;1;5;1;18;4;9;2;15;16;45;55;Estadio Metropolitano Roberto Meléndez
Feb 01 2014 - 10:30pm;Fortaleza CEIF;Santa Fe;1;2;3;6;5;5;0;4;1;16;10;10;2;12;12;45;55;Estadio Metropolitano de Techo
Feb 02 2014 - 12:45am;Deportes Tolima;Envigado;2;4;6;9;2;6;0;6;1;8;12;6;4;9;10;45;55;Estadio Manuel Murillo Toro
Feb 02 2014 - 8:15pm;Rionegro Águilas;Atlético Huila;2;1;3;6;6;0;0;3;0;16;10;14;8;22;16;44;56;Estadio Metropolitano de Itagüí (Itagüí)
Feb 02 2014 - 10:15pm;Millonarios;La Equidad;0;1;1;9;3;1;0;2;0;14;10;8;2;16;10;44;56;Estadio Nemesio Camacho El Campín
Feb 03 2014 - 12:15am;Deportivo Cali;Atlético Nacional;0;3;3;8;3;2;0;2;0;12;13;4;7;22;13;50;50;Estadio Olímpico Pascual Guerrero
Feb 05 2014 - 12:45am;Once Caldas;Independiente Medellín;2;2;4;6;3;1;0;4;0;13;15;6;9;18;21;48;52;Estadio Palogrande
Feb 05 2014 - 11:00pm;Envigado;Uniautónoma;1;0;1;6;8;2;0;4;0;17;3;7;0;16;15;52;48;Estadio Polideportivo Sur
Feb 05 2014 - 11:00pm;La Equidad;Deportes Tolima;0;2;2;9;1;2;1;2;0;23;9;12;3;11;28;50;50;Estadio Metropolitano de Techo
Feb 06 2014 - 1:00am;Deportivo Pasto;Deportivo Cali;1;1;2;5;3;1;0;2;0;11;12;7;4;17;17;51;49;Estadio Departamental Libertad
Feb 06 2014 - 1:00am;Santa Fe;Patriotas Boyacá;1;0;1;1;6;3;0;4;0;15;12;4;6;10;6;47;53;Estadio Nemesio Camacho El Campín
Feb 06 2014 - 11:00pm;Atlético Nacional;Alianza Petrolera;5;1;6;7;3;1;0;0;0;11;11;2;4;16;21;49;51;Estadio Atanasio Girardot
Feb 06 2014 - 11:00pm;Atlético Huila;Fortaleza CEIF;3;1;4;7;3;4;0;2;0;25;11;6;5;12;11;51;49;Estadio Guillermo Plazas Alcid
Feb 07 2014 - 1:00am;Boyacá Chicó;Millonarios;1;0;1;5;8;1;0;2;0;16;7;12;4;20;24;53;47;Estadio de La Independencia
Feb 07 2014 - 1:00am;Junior;Rionegro Águilas;2;0;2;3;1;2;0;2;0;10;12;4;3;12;19;52;48;Estadio Metropolitano Roberto Meléndez
Feb 08 2014 - 8:15pm;Envigado;La Equidad;1;3;4;10;4;2;0;2;0;22;6;14;2;13;12;49;51;Estadio Polideportivo Sur
Feb 08 2014 - 10:15pm;Independiente Medellín;Santa Fe;0;2;2;7;1;4;0;3;0;9;6;7;3;10;26;49;51;Estadio Atanasio Girardot
Feb 09 2014 - 12:45am;Deportivo Cali;Once Caldas;0;1;1;11;5;2;0;2;0;14;16;6;9;9;11;53;47;Estadio Olímpico Pascual Guerrero
Feb 09 2014 - 8:15pm;Uniautónoma;Rionegro Águilas;1;1;2;7;3;5;0;4;0;14;16;6;9;9;11;53;47;Estadio Metropolitano Roberto Meléndez
