full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Adam Ozeri;25;Categoria Primera A;2022;Midfielder;Patriotas Boyacá;USA;2;0;0;0;0;0;0;2;0
Adrián Arregui;31;Categoria Primera A;2022;Defender;Independiente Medellín;Argentina;47;7;3;4;6;2;4;17;0
Adrián Estacio;25;Categoria Primera A;2022;Midfielder;Deportivo Pasto;Colombia;30;8;5;3;1;0;1;5;0
Adrián José Palacios Hernández;19;Categoria Primera A;2022;Defender;Deportivo Cali;Venezuela;5;0;0;0;0;0;0;0;0
Agostino Luigi Spina;21;Categoria Primera A;2022;Midfielder;Unión Magdalena;Argentina;19;0;0;0;0;0;0;8;1
Agustín Auzmendi;26;Categoria Primera A;2022;Forward;Jaguares de Córdoba;Argentina;4;0;0;0;0;0;0;0;0
Agustín Cano Lotero;22;Categoria Primera A;2022;Midfielder;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Agustín Vuletich;31;Categoria Primera A;2022;Forward;Deportivo Cali;Argentina;17;1;0;1;0;0;0;3;0
Alain Yulián Guerrero Acosta;22;Categoria Primera A;2022;Defender;Unión Magdalena;Colombia;14;0;0;0;0;0;0;3;0
Aldair Quintana;29;Categoria Primera A;2022;Goalkeeper;Atlético Nacional;Colombia;6;0;0;0;0;0;0;1;0
Aldair Yesid Gutiérrez Toncel;25;Categoria Primera A;2022;Defender;Deportivo Cali;Colombia;28;0;0;0;1;0;1;9;1
Alejandro Aguilar;19;Categoria Primera A;2022;Goalkeeper;Deportes Tolima;Colombia;0;0;0;0;0;0;0;0;0
Alejandro Artunduaga Meneses;26;Categoria Primera A;2022;Midfielder;Once Caldas;Colombia;29;1;1;0;0;0;0;4;1
Alejandro Brian Barbaro;31;Categoria Primera A;2022;Midfielder;Once Caldas;Argentina;13;0;0;0;0;0;0;1;0
Alejandro Gabriel Quintana;31;Categoria Primera A;2022;Forward;América de Cali;Argentina;24;3;3;0;0;0;0;5;0
Alejandro García Castillo;22;Categoria Primera A;2022;Defender;Once Caldas;Colombia;15;1;1;0;1;0;1;3;0
Alejandro Gutiérrez;28;Categoria Primera A;2022;Defender;Santa Fe;Colombia;8;0;0;0;0;0;0;3;0
Alejandro Marín;23;Categoria Primera A;2022;Midfielder;Rionegro Águilas;Colombia;2;0;0;0;0;0;0;0;0
Alejandro Moralez;22;Categoria Primera A;2022;Defender;Santa Fe;Colombia;3;0;0;0;0;0;0;1;0
Alejandro Piedrahita Díaz;21;Categoria Primera A;2022;Midfielder;Deportivo Pereira;Colombia;19;1;0;1;0;0;0;1;1
Alejandro Prisco Gutierrez;21;Categoria Primera A;2022;Forward;Deportes Tolima;Colombia;3;0;0;0;0;0;0;0;0
Alex Moreno;21;Categoria Primera A;2022;Defender;Millonarios;Colombia;1;0;0;0;0;0;0;0;0
Alexander Domínguez Carabalí;36;Categoria Primera A;2022;Goalkeeper;Deportes Tolima;Ecuador;9;0;0;0;0;0;0;0;0
Alexander Mejía Sabalsa;35;Categoria Primera A;2022;Midfielder;Atlético Nacional;Colombia;36;1;1;0;1;0;1;10;0
Alexis Castillo Manyoma;20;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;35;5;1;4;2;2;0;6;0
Alfonso Simarra Valdez;23;Categoria Primera A;2022;Defender;Junior;Colombia;4;0;0;0;1;1;0;1;0
Álvaro Anyiver Angulo Mosquera;26;Categoria Primera A;2022;Defender;Atlético Nacional;Colombia;28;0;0;0;1;1;0;5;0
