common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2020;24;12;12;10;7;3;10;3;7;4;2;2;6;30;19;11;49;116;56;60;64;30;34
Deportivo Cali;2020;23;12;11;8;6;2;12;4;8;3;2;1;4;34;26;8;60;140;86;54;61;32;29
Santa Fe;2020;26;13;13;14;10;4;8;3;5;4;0;4;1;41;23;18;64;141;74;67;89;36;53
Once Caldas;2020;24;12;12;8;4;4;13;8;5;3;0;3;11;30;24;6;54;127;85;42;77;42;35
Millonarios;2020;26;14;12;11;7;4;11;5;6;4;2;2;10;41;26;15;67;143;77;66;59;31;28
Independiente Medellín;2020;23;11;12;6;5;1;5;3;2;12;3;9;14;27;32;-5;59;119;74;45;66;31;35
Atlético Bucaramanga;2020;23;11;12;6;4;2;8;4;4;9;3;6;13;20;29;-9;49;123;78;45;73;36;37
Deportes Tolima;2020;22;11;11;10;5;5;7;3;4;5;3;2;2;30;18;12;48;110;53;57;74;36;38
América de Cali;2020;26;13;13;12;8;4;7;2;5;7;3;4;7;40;27;13;67;89;51;38;74;32;42
Atlético Nacional;2020;22;11;11;11;4;7;5;4;1;6;3;3;3;41;35;6;76;121;66;55;46;24;22
Deportivo Pasto;2020;22;11;11;10;7;3;7;2;5;5;2;3;5;28;21;7;49;92;51;41;68;31;37
Patriotas Boyacá;2020;23;11;12;4;3;1;8;5;3;11;3;8;17;15;27;-12;42;93;46;47;63;27;36
Envigado;2020;23;12;11;5;4;1;9;4;5;9;4;5;12;23;30;-7;53;72;39;33;66;39;27
Alianza Petrolera;2020;22;11;11;5;3;2;5;3;2;12;5;7;15;26;40;-14;66;85;51;34;66;33;33
Rionegro Águilas;2020;23;12;11;9;7;2;9;4;5;5;1;4;9;32;25;7;57;87;52;35;59;25;34
La Equidad;2020;24;12;12;10;6;4;7;5;2;7;1;6;8;34;27;7;61;141;81;60;79;35;44
Jaguares de Córdoba;2020;22;11;11;3;2;1;10;7;3;9;2;7;16;23;32;-9;55;111;68;43;65;39;26
Boyacá Chicó;2020;23;11;12;4;4;0;3;2;1;16;5;11;19;14;39;-25;53;113;58;55;80;44;36
Cúcuta Deportivo;2020;20;10;10;3;1;2;5;3;2;12;6;6;20;18;38;-20;56;46;20;26;66;32;34
Deportivo Pereira;2020;25;12;13;5;2;3;9;5;4;11;5;6;18;22;31;-9;53;112;55;57;60;28;32
