date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 26 2019 - 12:45am;Patriotas Boyacá;Independiente Medellín;2;1;3;2;5;5;0;3;0;Estadio de La Independencia
Jan 26 2019 - 7:00pm;La Equidad;Atlético Huila;2;0;2;8;4;1;0;2;0;Estadio Metropolitano de Techo
Jan 26 2019 - 9:00pm;Unión Magdalena;Jaguares de Córdoba;3;4;7;10;3;2;0;4;0;Estadio Sierra Nevada
Jan 26 2019 - 11:00pm;Cúcuta Deportivo;Rionegro Águilas;3;0;3;5;2;3;0;3;0;Estadio General Santander
Jan 26 2019 - 11:00pm;Atlético Nacional;Once Caldas;0;0;0;7;2;1;0;3;0;Estadio Atanasio Girardot
Jan 27 2019 - 1:00am;Deportivo Cali;Atlético Bucaramanga;2;0;2;4;5;2;0;2;0;Estadio Deportivo Cali
Jan 27 2019 - 11:00pm;Alianza Petrolera;América de Cali;1;2;3;8;3;2;0;5;0;Estadio Daniel Villa Zapata
Jan 27 2019 - 11:00pm;Santa Fe;Deportivo Pasto;1;1;2;7;3;2;0;2;0;Estadio Nemesio Camacho El Campín
Jan 28 2019 - 1:00am;Envigado;Millonarios;0;1;1;3;1;3;0;3;0;Estadio Polideportivo Sur
Jan 29 2019 - 11:00pm;Atlético Huila;Unión Magdalena;1;1;2;5;7;5;0;2;0;Estadio Guillermo Plazas Alcid
Jan 30 2019 - 1:00am;Independiente Medellín;La Equidad;1;1;2;6;1;5;0;4;1;Estadio Atanasio Girardot
Jan 30 2019 - 8:15pm;Deportivo Pasto;Envigado;1;1;2;3;0;3;0;4;0;Estadio Municipal De Ipiales (Ipiales)
Jan 30 2019 - 11:00pm;Jaguares de Córdoba;Deportivo Cali;1;0;1;8;3;2;0;3;1;Estadio de Fútbol Jaraguay de Montería
