full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Adrián Estacio;25;Categoria Primera A;2023;Midfielder;Rionegro Águilas;Colombia;37;3;3;0;3;0;3;6;0
Adrián Martín Balboa Camacho;29;Categoria Primera A;2023;Forward;Deportivo Pereira;Uruguay;12;4;4;0;1;0;1;3;0
Adrián Parra Osorio;26;Categoria Primera A;2023;Forward;Deportivo Cali;Colombia;22;3;1;2;2;0;2;0;0
Adriel Galeano;22;Categoria Primera A;2023;Midfielder;Atlético Bucaramanga;Argentina;7;0;0;0;0;0;0;1;0
Agustín Ignacio Aleo;25;Categoria Primera A;2023;Forward;Boyacá Chicó;Argentina;30;0;0;0;4;3;1;4;0
Alain Yulián Guerrero Acosta;22;Categoria Primera A;2023;Defender;Unión Magdalena;Colombia;14;0;0;0;0;0;0;5;0
Aldair de Jesús Cantillo Hernández;27;Categoria Primera A;2023;Defender;Atlético Bucaramanga;Colombia;13;0;0;0;0;0;0;3;1
Aldair Enrique Zárate Palma;24;Categoria Primera A;2023;Forward;Atlético Bucaramanga;Colombia;20;0;0;0;1;1;0;6;0
Aldair Quintana;29;Categoria Primera A;2023;Goalkeeper;Deportivo Pereira;Colombia;34;0;0;0;0;0;0;4;0
Aldair Yesid Gutiérrez Toncel;25;Categoria Primera A;2023;Defender;Deportivo Cali;Colombia;28;0;0;0;2;1;1;7;0
Alejandro Artunduaga Meneses;26;Categoria Primera A;2023;Midfielder;Once Caldas;Colombia;8;0;0;0;0;0;0;0;0
Alejandro Fabián Prieto Romero;32;Categoria Primera A;2023;Defender;La Equidad;Uruguay;18;0;0;0;0;0;0;3;0
Alejandro García Castillo;22;Categoria Primera A;2023;Defender;Once Caldas;Colombia;26;1;1;0;2;2;0;3;0
Alejandro Mejía Cabezas;27;Categoria Primera A;2023;Defender;Boyacá Chicó;Colombia;0;0;0;0;0;0;0;0;0
Alejandro Piedrahita Díaz;21;Categoria Primera A;2023;Midfielder;Deportivo Pereira;Colombia;12;1;1;0;1;1;0;0;0
Alejandro Rodríguez;22;Categoria Primera A;2023;Goalkeeper;Deportivo Cali;Colombia;10;0;0;0;0;0;0;0;0
Alex Moreno;21;Categoria Primera A;2023;Defender;Millonarios;Colombia;12;1;0;1;0;0;0;1;0
Alex Stik Castro Giraldo;29;Categoria Primera A;2023;Midfielder;Deportes Tolima;Colombia;28;2;2;0;3;0;3;8;1
Alexander Mejía Sabalsa;35;Categoria Primera A;2023;Midfielder;Unión Magdalena;Colombia;29;0;0;0;2;2;0;9;0
Alexandro Licona Santana;19;Categoria Primera A;2023;Forward;Atlético Nacional;Colombia;2;0;0;0;0;0;0;0;0
Alfonso Simarra Valdez;23;Categoria Primera A;2023;Defender;Alianza Petrolera;Colombia;16;1;1;0;0;0;0;3;0
Álvaro Anyiver Angulo Mosquera;26;Categoria Primera A;2023;Defender;Atlético Nacional;Colombia;12;2;0;2;0;0;0;2;1
Álvaro José Meléndez Escobar;26;Categoria Primera A;2023;Forward;Deportes Tolima;Colombia;3;1;0;1;0;0;0;1;0
Alvaro José Montaño Loango;23;Categoria Primera A;2023;Forward;Once Caldas;Colombia;15;1;1;0;0;0;0;5;0
Álvaro Montero;28;Categoria Primera A;2023;Goalkeeper;Millonarios;Colombia;35;0;0;0;0;0;0;2;0
Alvino Volpi Neto;31;Categoria Primera A;2023;Goalkeeper;Deportes Tolima;Brazil;19;0;0;0;2;1;1;3;0
Amaury Torralvo Polo;29;Categoria Primera A;2023;Defender;La Equidad;Colombia;14;0;0;0;0;0;0;1;0
Anderson Daniel Plata Guillén;32;Categoria Primera A;2023;Forward;Independiente Medellín;Colombia;18;2;0;2;4;2;2;3;0
Anderson Darley Angulo Tenorio;27;Categoria Primera A;2023;Defender;Deportes Tolima;Colombia;20;0;0;0;0;0;0;4;0
